Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
15 Jan 2024 19:59:11 GMT,0.5,1267.516089975,0xec4a27e7c5eee76a314d1efbfb2e9f13421d12b5,0xec4a27e7c5eee76a314d1efbfb2e9f13421d12b5,0xf50c9c9a94337a9462dd9b462dfa8ea048624b1fe71cb2290e9f2c9c8eb2726f
15 Jan 2024 19:58:23 GMT,0.156,395.4650200722,0x592b70b570857b9fd03c99e6a865496df109bad9,0x592b70b570857b9fd03c99e6a865496df109bad9,0x4f698fe95d305d4421210b684622f7f274ddfadf3946aa64958111ccf9b52ceb
15 Jan 2024 19:58:23 GMT,0.5,1267.516089975,0xbe115092041459ee51db2b7f5fca6b6e7feed735,0xbe115092041459ee51db2b7f5fca6b6e7feed735,0x98d9b7889335754b6dbe8592aafcb92534cc2aec81140653e376c53318fce377
15 Jan 2024 19:58:23 GMT,1,2535.03217995,0x2f6ce3912e2263ddc1f300c02914dda46dbeafff,0x2f6ce3912e2263ddc1f300c02914dda46dbeafff,0xb36952c1d94c571e8165fec88011a88af5657281207496567934bea8f5120416
15 Jan 2024 19:57:59 GMT,1,2535.03217995,0xa97c5c360913066bdef8208fe74002cd03b0d10f,0xa97c5c360913066bdef8208fe74002cd03b0d10f,0xd1d32b7e5b2555d867083f93262938ac44506b33d88dfd4e4600bdbbc3aa5341
15 Jan 2024 19:57:47 GMT,0.6,1521.01930797,0x6fd4dee3c0351ad3184ed041e719d260b8d4dc92,0x6fd4dee3c0351ad3184ed041e719d260b8d4dc92,0x0cc8deaaf524c835452c7d00bb7bc7c1063d7f7800a635ecaf7b76fc9b45a058
15 Jan 2024 19:57:47 GMT,0.2,507.00643599,0xd8e1864f15418d0a51d5c21478cc4094ef7c0d2d,0xd8e1864f15418d0a51d5c21478cc4094ef7c0d2d,0x7336a8d3a0facba78a835d04ce503b414dba56d4b872c4a351bccef00750671d
15 Jan 2024 19:56:59 GMT,0.5,1267.516089975,0xec4a27e7c5eee76a314d1efbfb2e9f13421d12b5,0xec4a27e7c5eee76a314d1efbfb2e9f13421d12b5,0x6e2398600199183286795bfc2477796d2d9b9a08b395abc3f95f53e5df6ac5ad
15 Jan 2024 19:56:35 GMT,0.3,760.509653985,0x39013f33ec48b619ea10c5ca4c75b9db6bd5c1c9,0x39013f33ec48b619ea10c5ca4c75b9db6bd5c1c9,0x84b541e66777217fe0b755bafeea127557216c06e3d7e24793048757f30c3a76
15 Jan 2024 19:56:23 GMT,0.75,1901.2741349625,0xc7d23fb8577d08d53de98b74b4ba29e6a818878b,0xc7d23fb8577d08d53de98b74b4ba29e6a818878b,0xad0a96a246ad64a6c496a40223c5276efa4e4c8352250a3c4228a35cc70de2d2
15 Jan 2024 19:56:11 GMT,5,12675.16089975,0xad9f9194c68bd83250a534a7da574687e1f102ff,0xad9f9194c68bd83250a534a7da574687e1f102ff,0xb098cb132ecf02ee1f744381589dcfbb3062032d9d1b08b8d7777fe369b49a8c
15 Jan 2024 19:55:23 GMT,2,5070.0643599,0x143f8259c9700b4250d239ba16cd0c166c8c2765,0x143f8259c9700b4250d239ba16cd0c166c8c2765,0xc8b1b6b4490c9bc30b1b577d0a38165f2aefafa379b08dcdab7f68a828476f2d
15 Jan 2024 19:54:35 GMT,5.5311,14035.789848559644,0xd77196ea052d3c3429b66ce4452f3779c47acf6e,0xd77196ea052d3c3429b66ce4452f3779c47acf6e,0x1a696cbaf3f5c76b55369d550c4f52da32a71446eb1ca7fca8db663b6751ca6a
15 Jan 2024 19:54:35 GMT,1,2537.61274404,0x48e9e2f211371bd2462e44af3d2d1aa610437f82,0x48e9e2f211371bd2462e44af3d2d1aa610437f82,0xff025e85295004e75151cbb5c9c81a2555b76aee2ed012c773a27f09bb1c7936
15 Jan 2024 19:54:23 GMT,0.3,761.283823212,0x5beb7ff9021dd1f39c8dfec72fd7e9de07e6baf9,0x5beb7ff9021dd1f39c8dfec72fd7e9de07e6baf9,0x44c66bfcb92f3a7384b66f716396d4d02a56f7fea99d014d361f2157380fbecb
15 Jan 2024 19:54:11 GMT,2,5075.22548808,0xcc7abd6654203c103aafb0dc2d00dccc8147e99f,0xcc7abd6654203c103aafb0dc2d00dccc8147e99f,0x5901f9b8725ca4dc0d450d39e6a47bf6a438e90f303b2c14e75c14637fa70161
15 Jan 2024 19:54:11 GMT,0.1,253.761274404,0xaa85c1882ea6c44b3407a030595620179a4ae477,0xaa85c1882ea6c44b3407a030595620179a4ae477,0x61e427ca00398813dd0e1b9fd96b210b5dc8891ad6be919e27d767b1703de7c5
15 Jan 2024 19:52:59 GMT,5,12688.0637202,0xd9c3415bf8600f007a1b4199df967c25a3e00eea,0xd9c3415bf8600f007a1b4199df967c25a3e00eea,0x687dc21601fe949f3d25fcf95260fd7d7c629a9b9e84f4c12f524051b097dbdb
15 Jan 2024 19:51:35 GMT,40,101504.5097616,0x69ae4cd5da5a5d44f19965274b6b0fb492a2f146,0x69ae4cd5da5a5d44f19965274b6b0fb492a2f146,0xef7ec9c9454b92eab4b1c24eab4cff0db4e68004911b62512037de1f67a4e98d
15 Jan 2024 19:50:35 GMT,0.4,1015.045097616,0xaa5bf97a4b5a0165846b3e2016321e24a33be2ce,0xaa5bf97a4b5a0165846b3e2016321e24a33be2ce,0x9c0113f7fce5320e04b417ede32adb56a5882968a4cc07bcfef1c0179fa8056d
15 Jan 2024 19:49:35 GMT,0.1,253.761274404,0x6d630265e749fc5d0c5e8fd8e1e34d508bd83010,0x6d630265e749fc5d0c5e8fd8e1e34d508bd83010,0xf42cff4132272bd541fcb506de77d6449f074eda1d863cdeae76a7f903658c93
15 Jan 2024 19:47:59 GMT,0.46,1167.3018622584,0xde5e6769a39f14a461e6f57d1fa8b2253b7f7a26,0xde5e6769a39f14a461e6f57d1fa8b2253b7f7a26,0x722f3cffca8f5f6e20e9a97cfbf4b1617280c8f06a6c447cde85c8b78609f1b1
15 Jan 2024 19:47:59 GMT,1,2537.61274404,0xa97c5c360913066bdef8208fe74002cd03b0d10f,0xa97c5c360913066bdef8208fe74002cd03b0d10f,0x77c08dee1e9d791cc62032a94dccf8152f4c116c461cd1527dd2b91403f25a7b
15 Jan 2024 19:46:47 GMT,0.06,152.2567646424,0x8eed5fb34050eaf1ec0ec5aabef061583d9d0e41,0x8eed5fb34050eaf1ec0ec5aabef061583d9d0e41,0x24435d73debc0efad1551e9f5061f0b671aec92aa053a1c6685b505af8c49950
