Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
03 Dec 2024 02:59:47 GMT,0.85,3101.3448313,0xbd9dc4a5419f66e7accb94d6c3d9677c81508212,0xbd9dc4a5419f66e7accb94d6c3d9677c81508212,0x3d365d648f905522a02a409ec050a892fa51cfc20006f8ee5c6b5f244ba92678
03 Dec 2024 02:54:23 GMT,0.1,364.8640978,0xb22c92618ddfc04ecff4ddbcc324bd53081d2e8b,0xb22c92618ddfc04ecff4ddbcc324bd53081d2e8b,0x900a281b574a16faddf27b5a0080f7320d40f7aeb0b9c381e4d878271a881760
03 Dec 2024 02:53:47 GMT,0.05,182.4320489,0x84e1056ed1b76fb03b43e924ef98833dba394b2b,0x84e1056ed1b76fb03b43e924ef98833dba394b2b,0x9977ba7e2e59ad5e0e89116918280afa0e106ceb66ccee587521a3e279baa66d
03 Dec 2024 02:49:59 GMT,0.063,229.864381614,0xfc77c1072beb03666d66ddd26f03c5ccee32b9cf,0xfc77c1072beb03666d66ddd26f03c5ccee32b9cf,0xebc1ac28c586acf61501bbfc99c1293279ffd1034f6e6cea521dcc63f7087fb3
03 Dec 2024 02:49:11 GMT,0.05,182.4320489,0x25cc196fd6f6145c5edbae3fdafad762498d167a,0x25cc196fd6f6145c5edbae3fdafad762498d167a,0x948c28d017a062a027e176ab631dedbbd42427d40807faee15098bb475e50903
03 Dec 2024 02:44:11 GMT,0.15,544.4832,0x9d6d254287922f9a96b23b2b9f74c735c9f655cf,0x9d6d254287922f9a96b23b2b9f74c735c9f655cf,0x9ff5fc6574a70def06f5afa2cd69c85e26f4a1fdd33ad0aef7af52f980985eb3
03 Dec 2024 02:41:47 GMT,0.25,907.472,0x8d7307d09985a68c71c7e2edc7c3f29ee9a67e95,0x8d7307d09985a68c71c7e2edc7c3f29ee9a67e95,0x2d167f858758b33d3e9d140c7f4f76adaf71ba811e0766d448e6d326a4c234f8
03 Dec 2024 02:39:59 GMT,0.25,907.472,0x8d7307d09985a68c71c7e2edc7c3f29ee9a67e95,0x8d7307d09985a68c71c7e2edc7c3f29ee9a67e95,0x76abbf5f477accd5e54504e04bb7fcd5cf7f037cd610fa2b8a93980ebc94d9e5
03 Dec 2024 02:39:59 GMT,0.03,108.89664,0xb1973ece3f17a24abdfd20dc1b696e59e304798c,0xb1973ece3f17a24abdfd20dc1b696e59e304798c,0x79fb2efac54213993db897c3cfff21017548614690f893bf90a360f3dfcfeafb
03 Dec 2024 02:38:47 GMT,1,3629.888,0xc19ae874a342e2056cde061e21f498f0351968fa,0xc19ae874a342e2056cde061e21f498f0351968fa,0xd828455f8d874523f1104b42b13561936b49d5eacda3765c6a5cf68829ff8866
03 Dec 2024 02:37:35 GMT,2,7259.776,0xc19ae874a342e2056cde061e21f498f0351968fa,0xc19ae874a342e2056cde061e21f498f0351968fa,0x8871149015c05b071119e6574e2b8d8988bbf0abd7cb0929935a9d3a6116a747
03 Dec 2024 02:34:59 GMT,0.8,2903.9104,0xf34eb3293e7e65a457d295caae302e37ec2910c8,0xf34eb3293e7e65a457d295caae302e37ec2910c8,0x9d561ad1cc27511400093e25322df8816a7fa51bb3797a006fa19cd137e5b8e5
03 Dec 2024 02:31:23 GMT,0.2,725.9776,0xf34eb3293e7e65a457d295caae302e37ec2910c8,0xf34eb3293e7e65a457d295caae302e37ec2910c8,0xb1fdae4546c325370d344455865659e48e2548fbfc3cefa57167215603376c2b
03 Dec 2024 02:28:35 GMT,0.3,1088.9664,0xad6a846e9182bb6dc1f1d63aed9727b4eab07069,0xad6a846e9182bb6dc1f1d63aed9727b4eab07069,0x25ac594f5946008ad74e5a74609bab71bce0712a4556953eea936d3f11acdc0a
03 Dec 2024 02:24:23 GMT,0.03,108.89664,0xbd0884ec46b287427b2652e356dd6edb521a574e,0xbd0884ec46b287427b2652e356dd6edb521a574e,0x2bdcb81f59a73638312ab463860d05417b132958d0f3abfd0fbd22ede0739691
03 Dec 2024 02:22:35 GMT,0.05,181.4944,0x16aa582c697cbb4b66e051358858ecfaebe7dde0,0x16aa582c697cbb4b66e051358858ecfaebe7dde0,0x6ec140d4bcac4f92b1062e92ccad3a4ccdef91eec448a651775ba66e192e89d4
03 Dec 2024 02:18:23 GMT,0.2,725.9776,0x7261a3b25f410a2e90d12a79bf6a2eea89a41993,0x7261a3b25f410a2e90d12a79bf6a2eea89a41993,0xaf4111f6396ae681e9e9f19f89929eecbd57dc34af33d3964f023c43fdc6e0ee
03 Dec 2024 02:15:11 GMT,0.26,943.77088,0x16aa582c697cbb4b66e051358858ecfaebe7dde0,0x16aa582c697cbb4b66e051358858ecfaebe7dde0,0x4e72d088d752074653731633832d72043a12e7cc061e71c7fd9dee47ae3e56bc
03 Dec 2024 01:58:11 GMT,1,3629.888,0x7ba318c104a0c903742c3f960df7dc1a50ac6ffe,0x7ba318c104a0c903742c3f960df7dc1a50ac6ffe,0x23626a136ae962716df8185e083e7e3a2f85114dc7984ed675f021bf1dd16d22
03 Dec 2024 01:49:11 GMT,0.35,1270.4608,0xb9ad158e0392b4809de8edcd9676df4d88fadf2e,0xb9ad158e0392b4809de8edcd9676df4d88fadf2e,0xecbb3ab148955f840d60db79d35c8272fa56b5fdf7a57573b3263735ec4d158c
03 Dec 2024 01:41:23 GMT,2,7287.52,0x818cf89054b3a5e03d4677b52982e8319d009194,0x818cf89054b3a5e03d4677b52982e8319d009194,0x2ba9e09325fe5225c75494e687dd6f0ab8d2be0c4a571ea5f550f2d317bf6a2d
